ds,y
2016-01-09 ,0.5258040389
2016-01-10 ,0.5617053104
2016-01-11 ,1.894540015
2016-01-12 ,1.922961855
2016-01-13 ,1.847419596
2016-01-14 ,1.742707554
2016-01-15 ,1.498130142
2016-01-16 ,0.5504861631
2016-01-17 ,0.5624532536
2016-01-18 ,1.864622289
2016-01-19 ,1.840688108
2016-01-20 ,1.870605834
2016-01-21 ,1.740463725
2016-01-22 ,1.456993269
2016-01-23 ,0.5400149589
2016-01-24 ,0.545250561
2016-01-25 ,1.875841436
2016-01-26 ,1.979057592
2016-01-27 ,1.992520568
2016-01-28 ,1.873597607
2016-01-29 ,1.477935677
2016-01-30 ,0.5392670157
2016-01-31 ,0.593118923
2016-02-01 ,1.970830217
2016-02-02 ,2.107703815
2016-02-03 ,1.985041137
2016-02-04 ,1.922961855
2016-02-05 ,1.563201197
2016-02-06 ,0.5527299925
2016-02-07 ,0.5332834705
2016-02-08 ,1.942408377
2016-02-09 ,2.147344802
2016-02-10 ,2.029169783
2016-02-11 ,1.836200449
2016-02-12 ,1.587135378
2016-02-13 ,0.5669409125
2016-02-14 ,0.5130890052
2016-02-15 ,1.919222139
2016-02-16 ,2.138369484
2016-02-17 ,2.151832461
2016-02-18 ,1.965594615
2016-02-19 ,1.661929693
2016-02-20 ,0.5714285714
2016-02-21 ,0.6073298429
2016-02-22 ,2.129394166
2016-02-23 ,2.186237846
2016-02-24 ,2.109199701
2016-02-25 ,2.053851907
2016-02-26 ,1.673896784
2016-02-27 ,0.5602094241
2016-02-28 ,0.5878833209
2016-02-29 ,1.961106956
2016-03-01 ,2.26551982
2016-03-02 ,2.13986537
2016-03-03 ,2.057591623
2016-03-04 ,1.795063575
2016-03-05 ,0.5998504114
2016-03-06 ,0.6342557966
2016-03-07 ,2.037397158
2016-03-08 ,2.158563949
2016-03-09 ,2.043380703
2016-03-10 ,2.091997008
2016-03-11 ,1.80104712
2016-03-12 ,0.6252804787
2016-03-13 ,0.6581899776
2016-03-14 ,2.172026926
2016-03-15 ,2.29618549
2016-03-16 ,2.191473448
2016-03-17 ,2.024682124
2016-03-18 ,1.671652954
2016-03-19 ,0.5908750935
2016-03-20 ,0.6424831713
2016-03-21 ,2.229618549
2016-03-22 ,2.18249813
2016-03-23 ,2.152580404
2016-03-24 ,1.967090501
2016-03-25 ,1.440538519
2016-03-26 ,0.5347793568
2016-03-27 ,0.4727000748
2016-03-28 ,2.086013463
2016-03-29 ,2.244577412
2016-03-30 ,2.065071055
2016-03-31 ,1.856394914
2016-04-01 ,1.649962603
2016-04-02 ,0.6065818998
2016-04-03 ,0.6611817502
2016-04-04 ,2.189977562
2016-04-05 ,2.362752431
2016-04-06 ,2.160059835
2016-04-07 ,2.143605086
2016-04-08 ,1.77262528
2016-04-09 ,0.6424831713
2016-04-10 ,0.6798803291
2016-04-11 ,2.333582648
2016-04-12 ,2.387434555
2016-04-13 ,2.205684368
2016-04-14 ,2.067314884
2016-04-15 ,1.759162304
2016-04-16 ,0.5916230366
2016-04-17 ,0.6424831713
2016-04-18 ,2.270007479
2016-04-19 ,2.31039641
2016-04-20 ,2.301421092
2016-04-21 ,2.072550486
2016-04-22 ,1.801795064
2016-04-23 ,0.6245325355
2016-04-24 ,0.6282722513
2016-04-25 ,2.25355273
2016-04-26 ,2.292445774
2016-04-27 ,2.163799551
2016-04-28 ,1.991772625
2016-04-29 ,1.596110696
2016-04-30 ,0.5467464473
2016-05-01 ,0.6320119671
2016-05-02 ,2.089005236
2016-05-03 ,2.316379955
2016-05-04 ,2.217651458
2016-05-05 ,2.029917726
2016-05-06 ,1.64921466
2016-05-07 ,0.5519820494
2016-05-08 ,0.4876589379
2016-05-09 ,2.192969334
2016-05-10 ,2.368735976
2016-05-11 ,2.091249065
2016-05-12 ,1.904263276
2016-05-13 ,1.56170531
